STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2012,,1450289,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2011,,1449698,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2010,,1442981,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2009,,1432984,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2008,,1420445,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2007,,1404769,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2006,,1384182,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2005,,1356881,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2004,,1330550,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2025,,188690,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2024,,190662,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2023,,191768,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2022,,193749,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2021,,196675,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2020,,199876,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2019,,202544,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2018,,205174,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2017,,207770,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2016,,210757,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2015,,214213,,CHL,Chile,A,Normal value,0,Units,0,Zero
