STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,M,Male,PS,Persons,2024,,14402110,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,_T,Total,PS,Persons,2024,,5793100,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,M,Male,PS,Persons,2024,,2967820,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2024,,2825460,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2018,,34772260,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2019,,35409030,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2020,,36040220,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2021,,36609710,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2022,,37268790,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,1995,,10399190,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,1996,,10736220,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,1997,,11069770,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,1998,,11404220,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2008,,14370940,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2009,,14620570,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,TUR,Türkiye,PU,Predominantly urban region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2010,,14969640,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,F,Female,PS,Persons,2016,,4515210,,GBR,United Kingdom,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,F,Female,PS,Persons,2011,,4520890,,GBR,United Kingdom,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,POP,Population,Y15T64,From 15 to 64 years,F,Female,PS,Persons,2010,,4504850,,GBR,United Kingdom,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2009,,68.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2008,,70.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2007,,70.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2006,,70.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2005,,70.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2004,,70.9,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2007,,63.6,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2006,,63.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2005,,63.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2004,,63.6,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2020,,74.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2019,,74.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2018,,73.5,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2017,,73.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2016,,72.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2015,,71.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2014,,70.6,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2013,,69.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2012,,68.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2011,,68,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y15T64,From 15 to 64 years,_T,Total,PT_POP_SUB,Percentage of population in the same subgroup,2010,,68.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2022,,58,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2020,,57,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2019,,59.5,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2018,,59.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2017,,59.6,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2016,,59.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2015,,59.7,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2014,,59.9,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2013,,59.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2012,,59.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2011,,59.2,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2010,,59.5,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2009,,60.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2008,,61.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2007,,62,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2006,,62.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2005,,62.2,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,IN,Intermediate region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2004,,62.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2022,,64.5,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2020,,63.7,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2019,,64.3,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2018,,64.4,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2017,,64.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2016,,63.8,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2015,,63.2,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2014,,62,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2013,,61.1,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2012,,60.9,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2011,,60.6,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2010,,60.7,,GBR,United Kingdom,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,GBR,United Kingdom,PU,Predominantly urban region,EMP_RATIO,Employment to population ratio,Y_GT15,Over 15 years,M,Male,PT_POP_SUB,Percentage of population in the same subgroup,2009,,61,,GBR,United Kingdom,A,Normal value,0,Units,1,One
