country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,gdp_pc,part_time_gap
Ireland,2017,15.5432708475,-7.491604750000002,13.379173999999995,11.4469556825,15.5096540425,173.77555425,-49.16
Ireland,2018,15.41674986,-7.545906000000002,13.505095999999996,10.700004579999998,14.799995420000002,185.155465,-49.85
Ireland,2019,15.538536315,-7.568997332946779,13.232476861450191,10.348403932499998,14.215065,197.1482425,-50.8915
Ireland,2020,15.66032277,-7.592088665893556,12.959857722900388,9.996803285,13.630134579999996,209.14102,-51.93299999999999
Ireland,2021,15.782109225,-7.615179998840333,12.687238584350585,9.6452026375,13.045204159999995,221.1337975,-52.97449999999999
Ireland,2022,15.90389568,-7.638271331787109,12.41461944580078,9.29360199,12.460273739999993,233.126575,-54.01599999999999
Ireland,2023,16.80041843,-7.377140045166023,10.912841796875,7.702400210000007,12.209922790000007,220.745034,-52.11600000000001
Israel,2010,25.48797382,-7.759190000000004,11.031097000000004,9.95360565,6.531532280000008,82.456788,-49.708
Israel,2011,24.89500479,-6.40504,11.18070999999999,9.95360565,6.531532280000008,84.018078,-48.718
Israel,2012,24.32988529,-8.858052,11.031006000000003,9.95360565,6.531532280000008,83.732599,-39.356
Israel,2013,25.71408681,-8.935398,10.721373999999996,9.700691219999996,6.68764496,84.683983,-39.958
Israel,2014,25.88653955,-9.170177000000002,9.490914000000004,8.966369629999988,5.017852790000006,84.963337,-40.468
Israel,2015,24.22555619,-8.452221000000002,10.09125499999999,9.301094059999995,4.240577700000003,83.601077,-39.468
Israel,2016,26.96285447,-9.284374,9.415047,8.393569940000006,3.7372741700000063,84.68542,-40.49799999999999
Israel,2017,25.91035096,-9.009102000000006,9.908363000000008,8.07607268999999,4.6740646299999895,84.960415,-41.382000000000005
Israel,2018,24.23386145,-9.249324,7.903769999999994,6.299995420000002,4.400001529999997,85.287172,-42.926
Israel,2019,23.7663108,-10.367030999999995,7.687072999999998,5.8521499600000055,3.5635299700000047,85.932873,-41.152
Israel,2020,23.31949138,-10.043407000000002,6.310256999999993,5.17147064000001,3.7471237200000047,86.604663,-41.93600000000001
Israel,2021,25.57830236,-9.921875,5.227669000000006,5.159996030000002,3.680000300000003,88.018,-42.22800000000001
Israel,2022,25.83703571,-10.95533752,5.745399480000003,5.159996030000002,3.680000300000003,89.520807,-42.934
Israel,2023,25.83703571,-10.95533752,5.745399480000003,5.159996030000002,3.680000300000003,89.520807,-42.934
Italy,2010,11.47453352,-3.083502,24.427341,21.69537735,27.462043760000007,112.259916,-57.068000000000005
Italy,2011,12.4337253775,-3.3013457500000003,23.47928575,21.03911209,25.912010190000004,109.5770755,-55.2325
Italy,2012,13.392917235,-3.5191895000000004,22.5312305,20.38284683,24.361976620000004,106.894235,-53.397000000000006
Italy,2013,14.3521090925,-3.73703325,21.58317525,19.72658157,22.811943050000004,104.2113945,-51.5615
