REF_AREA,Reference area,AGE,Age,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,fertility_rate
SVN,Slovenia,_T,Total,1990,1.46,A,Normal value,1.46
FRA,France,_T,Total,1990,1.78,A,Normal value,1.78
ROU,Romania,_T,Total,1990,1.83,A,Normal value,1.83
DNK,Denmark,_T,Total,1990,1.67,A,Normal value,1.67
IDN,Indonesia,_T,Total,1990,3.33,A,Normal value,3.33
AUT,Austria,_T,Total,1990,1.46,A,Normal value,1.46
BGR,Bulgaria,_T,Total,1990,1.82,A,Normal value,1.82
PRT,Portugal,_T,Total,1990,1.56,A,Normal value,1.56
CZE,Czechia,_T,Total,1990,1.9,A,Normal value,1.9
POL,Poland,_T,Total,1990,2.06,A,Normal value,2.06
ITA,Italy,_T,Total,1990,1.33,A,Normal value,1.33
BEL,Belgium,_T,Total,1990,1.62,A,Normal value,1.62
LUX,Luxembourg,Y30T34,From 30 to 34 years,1990,0.42064,A,Normal value,0.42064
POL,Poland,Y30T34,From 30 to 34 years,1990,0.29659,A,Normal value,0.29659
FIN,Finland,Y30T34,From 30 to 34 years,1990,0.47373,A,Normal value,0.47373
CHE,Switzerland,Y30T34,From 30 to 34 years,1990,0.45852,A,Normal value,0.45852
NLD,Netherlands,Y30T34,From 30 to 34 years,1990,0.53,A,Normal value,0.53
ISL,Iceland,Y30T34,From 30 to 34 years,1990,0.52235,A,Normal value,0.52235
SVK,Slovak Republic,Y30T34,From 30 to 34 years,1990,0.23416,A,Normal value,0.23416
AUS,Australia,Y30T34,From 30 to 34 years,1990,0.5085,A,Normal value,0.5085
EST,Estonia,Y30T34,From 30 to 34 years,1990,0.27664,A,Normal value,0.27664
CHE,Switzerland,Y15T19,From 15 to 19 years,1990,0.0326,A,Normal value,0.0326
FIN,Finland,Y35T39,From 35 to 39 years,1990,0.18599,A,Normal value,0.18599
AUS,Australia,Y35T39,From 35 to 39 years,1990,0.1734999999999999,A,Normal value,0.1734999999999999
NOR,Norway,Y35T39,From 35 to 39 years,1990,0.15999,A,Normal value,0.15999
GRC,Greece,Y30T34,From 30 to 34 years,1990,0.26942,A,Normal value,0.26942
LTU,Lithuania,Y30T34,From 30 to 34 years,1990,0.28201,A,Normal value,0.28201
DNK,Denmark,Y30T34,From 30 to 34 years,1990,0.43364,A,Normal value,0.43364
ITA,Italy,Y30T34,From 30 to 34 years,1990,0.36289,A,Normal value,0.36289
NOR,Norway,Y20T24,From 20 to 24 years,1990,0.46717,A,Normal value,0.46717
GRC,Greece,Y20T24,From 20 to 24 years,1990,0.42403,A,Normal value,0.42403
ISL,Iceland,Y35T39,From 35 to 39 years,1990,0.2209199999999999,A,Normal value,0.2209199999999999
EST,Estonia,Y15T19,From 15 to 19 years,1990,0.27546,A,Normal value,0.27546
GRC,Greece,Y35T39,From 35 to 39 years,1990,0.10036,A,Normal value,0.10036
ROU,Romania,Y35T39,From 35 to 39 years,1990,0.09611,A,Normal value,0.09611
LTU,Lithuania,Y35T39,From 35 to 39 years,1990,0.1121099999999999,A,Normal value,0.1121099999999999
SVK,Slovak Republic,Y35T39,From 35 to 39 years,1990,0.07578,A,Normal value,0.07578
NOR,Norway,Y40T44,From 40 to 44 years,1990,0.0237199999999999,A,Normal value,0.0237199999999999
ROU,Romania,Y40T44,From 40 to 44 years,1990,0.02597,A,Normal value,0.02597
HUN,Hungary,Y40T44,From 40 to 44 years,1990,0.01453,A,Normal value,0.01453
BGR,Bulgaria,Y40T44,From 40 to 44 years,1990,0.00921,A,Normal value,0.00921
LTU,Lithuania,Y40T44,From 40 to 44 years,1990,0.02606,A,Normal value,0.02606
PRT,Portugal,Y40T44,From 40 to 44 years,1990,0.02815,A,Normal value,0.02815
GRC,Greece,Y40T44,From 40 to 44 years,1990,0.01856,A,Normal value,0.01856
EST,Estonia,Y40T44,From 40 to 44 years,1990,0.02328,A,Normal value,0.02328
FRA,France,Y15T19,From 15 to 19 years,1990,0.06077,A,Normal value,0.06077
AUS,Australia,Y15T19,From 15 to 19 years,1990,0.1105,A,Normal value,0.1105
SWE,Sweden,Y15T19,From 15 to 19 years,1990,0.0693,A,Normal value,0.0693
ESP,Spain,Y15T19,From 15 to 19 years,1990,0.0593599999999999,A,Normal value,0.0593599999999999
CZE,Czechia,Y25T29,From 25 to 29 years,1990,0.5202199999999999,A,Normal value,0.5202199999999999
CHE,Switzerland,Y25T29,From 25 to 29 years,1990,0.6320899999999999,A,Normal value,0.6320899999999999
IRL,Ireland,Y25T29,From 25 to 29 years,1990,0.6871100000000001,A,Normal value,0.6871100000000001
PRT,Portugal,Y25T29,From 25 to 29 years,1990,0.5356299999999999,A,Normal value,0.5356299999999999
AUT,Austria,Y25T29,From 25 to 29 years,1990,0.51411,A,Normal value,0.51411
SWE,Sweden,Y25T29,From 25 to 29 years,1990,0.7785399999999999,A,Normal value,0.7785399999999999
EST,Estonia,Y25T29,From 25 to 29 years,1990,0.5347700000000001,A,Normal value,0.5347700000000001
ITA,Italy,Y25T29,From 25 to 29 years,1990,0.4855899999999999,A,Normal value,0.4855899999999999
ROU,Romania,Y25T29,From 25 to 29 years,1990,0.49271,A,Normal value,0.49271
FIN,Finland,Y25T29,From 25 to 29 years,1990,0.66662,A,Normal value,0.66662
SVN,Slovenia,Y25T29,From 25 to 29 years,1990,0.4733,A,Normal value,0.4733
FRA,France,Y20T24,From 20 to 24 years,1990,0.41746,A,Normal value,0.41746
AUT,Austria,Y45T49,From 45 to 49 years,1990,0.00083,A,Normal value,0.00083
CHE,Switzerland,Y45T49,From 45 to 49 years,1990,0.0006,A,Normal value,0.0006
FIN,Finland,Y45T49,From 45 to 49 years,1990,0.0017,A,Normal value,0.0017
SVK,Slovak Republic,Y45T49,From 45 to 49 years,1990,0.00058,A,Normal value,0.00058
NOR,Norway,Y45T49,From 45 to 49 years,1990,0.00123,A,Normal value,0.00123
BEL,Belgium,Y45T49,From 45 to 49 years,1990,0.00126,A,Normal value,0.00126
CZE,Czechia,Y30T34,From 30 to 34 years,1990,0.19274,A,Normal value,0.19274
BEL,Belgium,Y30T34,From 30 to 34 years,1990,0.35894,A,Normal value,0.35894
BGR,Bulgaria,Y30T34,From 30 to 34 years,1990,0.15068,A,Normal value,0.15068
SVN,Slovenia,Y45T49,From 45 to 49 years,1990,0.00069,A,Normal value,0.00069
ISL,Iceland,Y40T44,From 40 to 44 years,1990,0.0276,A,Normal value,0.0276
NLD,Netherlands,Y45T49,From 45 to 49 years,1990,0.0,A,Normal value,0.0
AUS,Australia,Y40T44,From 40 to 44 years,1990,0.0275,A,Normal value,0.0275
CYP,Cyprus,Y45T49,From 45 to 49 years,1990,0.00021,A,Normal value,0.00021
HUN,Hungary,Y45T49,From 45 to 49 years,1990,0.00051,A,Normal value,0.00051
ESP,Spain,Y40T44,From 40 to 44 years,1990,0.02907,A,Normal value,0.02907
LUX,Luxembourg,Y40T44,From 40 to 44 years,1990,0.02004,A,Normal value,0.02004
POL,Poland,Y35T39,From 35 to 39 years,1990,0.1226599999999999,A,Normal value,0.1226599999999999
FRA,France,Y45T49,From 45 to 49 years,1990,0.00161,A,Normal value,0.00161
POL,Poland,Y40T44,From 40 to 44 years,1990,0.02948,A,Normal value,0.02948
LUX,Luxembourg,Y45T49,From 45 to 49 years,1990,0.0,A,Normal value,0.0
ITA,Italy,Y40T44,From 40 to 44 years,1990,0.02683,A,Normal value,0.02683
IRL,Ireland,Y40T44,From 40 to 44 years,1990,0.0755,A,Normal value,0.0755
GBR,United Kingdom,Y40T44,From 40 to 44 years,1990,0.02533,A,Normal value,0.02533
ITA,Italy,Y45T49,From 45 to 49 years,1990,0.00124,A,Normal value,0.00124
SWE,Sweden,Y40T44,From 40 to 44 years,1990,0.03547,A,Normal value,0.03547
CHE,Switzerland,Y40T44,From 40 to 44 years,1990,0.01902,A,Normal value,0.01902
DNK,Denmark,Y45T49,From 45 to 49 years,1990,0.0007,A,Normal value,0.0007
ISL,Iceland,Y45T49,From 45 to 49 years,1990,0.0,A,Normal value,0.0
DNK,Denmark,Y40T44,From 40 to 44 years,1990,0.0194,A,Normal value,0.0194
AUT,Austria,Y40T44,From 40 to 44 years,1990,0.0192299999999999,A,Normal value,0.0192299999999999
SVN,Slovenia,Y40T44,From 40 to 44 years,1990,0.0137499999999999,A,Normal value,0.0137499999999999
ESP,Spain,Y20T24,From 20 to 24 years,1990,0.25172,A,Normal value,0.25172
ISL,Iceland,Y20T24,From 20 to 24 years,1990,0.6229,A,Normal value,0.6229
NLD,Netherlands,Y20T24,From 20 to 24 years,1990,0.24,A,Normal value,0.24
GBR,United Kingdom,Y15T19,From 15 to 19 years,1990,0.15709,A,Normal value,0.15709
SVK,Slovak Republic,Y15T19,From 15 to 19 years,1990,0.2421299999999999,A,Normal value,0.2421299999999999
PRT,Portugal,Y15T19,From 15 to 19 years,1990,0.12012,A,Normal value,0.12012
ROU,Romania,Y15T19,From 15 to 19 years,1990,0.25777,A,Normal value,0.25777
ISL,Iceland,Y15T19,From 15 to 19 years,1990,0.18864,A,Normal value,0.18864
IRL,Ireland,Y15T19,From 15 to 19 years,1990,0.08541,A,Normal value,0.08541
ESP,Spain,Y30T34,From 30 to 34 years,1990,0.37231,A,Normal value,0.37231
SVN,Slovenia,Y30T34,From 30 to 34 years,1990,0.19472,A,Normal value,0.19472
HUN,Hungary,Y30T34,From 30 to 34 years,1990,0.2408999999999999,A,Normal value,0.2408999999999999
AUS,Australia,Y25T29,From 25 to 29 years,1990,0.6895,A,Normal value,0.6895
SVK,Slovak Republic,Y25T29,From 25 to 29 years,1990,0.58256,A,Normal value,0.58256
LUX,Luxembourg,Y25T29,From 25 to 29 years,1990,0.62368,A,Normal value,0.62368
GRC,Greece,Y25T29,From 25 to 29 years,1990,0.48137,A,Normal value,0.48137
BEL,Belgium,Y25T29,From 25 to 29 years,1990,0.69639,A,Normal value,0.69639
GBR,United Kingdom,Y25T29,From 25 to 29 years,1990,0.61542,A,Normal value,0.61542
FRA,France,Y25T29,From 25 to 29 years,1990,0.68913,A,Normal value,0.68913
ESP,Spain,Y25T29,From 25 to 29 years,1990,0.50735,A,Normal value,0.50735
ISL,Iceland,Y25T29,From 25 to 29 years,1990,0.72065,A,Normal value,0.72065
POL,Poland,Y25T29,From 25 to 29 years,1990,0.61381,A,Normal value,0.61381
BEL,Belgium,Y15T19,From 15 to 19 years,1990,0.05499,A,Normal value,0.05499
ITA,Italy,Y35T39,From 35 to 39 years,1990,0.14459,A,Normal value,0.14459
EST,Estonia,Y35T39,From 35 to 39 years,1990,0.11475,A,Normal value,0.11475
GBR,United Kingdom,Y35T39,From 35 to 39 years,1990,0.15437,A,Normal value,0.15437
DNK,Denmark,Y35T39,From 35 to 39 years,1990,0.13651,A,Normal value,0.13651
CZE,Czechia,Y35T39,From 35 to 39 years,1990,0.05686,A,Normal value,0.05686
PRT,Portugal,Y35T39,From 35 to 39 years,1990,0.11609,A,Normal value,0.11609
CHE,Switzerland,Y35T39,From 35 to 39 years,1990,0.1465499999999999,A,Normal value,0.1465499999999999
IRL,Ireland,Y35T39,From 35 to 39 years,1990,0.3124100000000001,A,Normal value,0.3124100000000001
BEL,Belgium,Y35T39,From 35 to 39 years,1990,0.10392,A,Normal value,0.10392
ESP,Spain,Y35T39,From 35 to 39 years,1990,0.13791,A,Normal value,0.13791
LUX,Luxembourg,Y35T39,From 35 to 39 years,1990,0.13377,A,Normal value,0.13377
BGR,Bulgaria,Y35T39,From 35 to 39 years,1990,0.0488799999999999,A,Normal value,0.0488799999999999
SWE,Sweden,Y35T39,From 35 to 39 years,1990,0.20822,A,Normal value,0.20822
FRA,France,Y35T39,From 35 to 39 years,1990,0.15901,A,Normal value,0.15901
SVN,Slovenia,Y35T39,From 35 to 39 years,1990,0.06453,A,Normal value,0.06453
GRC,Greece,Y15T19,From 15 to 19 years,1990,0.09887,A,Normal value,0.09887
LUX,Luxembourg,Y15T19,From 15 to 19 years,1990,0.06337,A,Normal value,0.06337
HUN,Hungary,Y15T19,From 15 to 19 years,1990,0.21153,A,Normal value,0.21153
FIN,Finland,Y15T19,From 15 to 19 years,1990,0.06152,A,Normal value,0.06152
AUT,Austria,Y30T34,From 30 to 34 years,1990,0.28883,A,Normal value,0.28883
BGR,Bulgaria,Y15T19,From 15 to 19 years,1990,0.36629,A,Normal value,0.36629
DNK,Denmark,Y15T19,From 15 to 19 years,1990,0.0456,A,Normal value,0.0456
POL,Poland,Y15T19,From 15 to 19 years,1990,0.16554,A,Normal value,0.16554
SVN,Slovenia,Y15T19,From 15 to 19 years,1990,0.1244099999999999,A,Normal value,0.1244099999999999
NOR,Norway,Y15T19,From 15 to 19 years,1990,0.08279,A,Normal value,0.08279
CZE,Czechia,Y15T19,From 15 to 19 years,1990,0.24599,A,Normal value,0.24599
NOR,Norway,_T,Total,1990,1.93,A,Normal value,1.93
SWE,Sweden,_T,Total,1990,2.13,A,Normal value,2.13
LUX,Luxembourg,_T,Total,1990,1.6,A,Normal value,1.6
PRT,Portugal,Y45T49,From 45 to 49 years,1990,0.0023,A,Normal value,0.0023
HUN,Hungary,Y20T24,From 20 to 24 years,1990,0.7375400000000001,A,Normal value,0.7375400000000001
SVN,Slovenia,Y20T24,From 20 to 24 years,1990,0.59138,A,Normal value,0.59138
DNK,Denmark,Y20T24,From 20 to 24 years,1990,0.3573,A,Normal value,0.3573
BGR,Bulgaria,Y20T24,From 20 to 24 years,1990,0.8241100000000001,A,Normal value,0.8241100000000001
PRT,Portugal,Y20T24,From 20 to 24 years,1990,0.4459499999999999,A,Normal value,0.4459499999999999
CHE,Switzerland,Y20T24,From 20 to 24 years,1990,0.28888,A,Normal value,0.28888
IRL,Ireland,Y20T24,From 20 to 24 years,1990,0.31942,A,Normal value,0.31942
GBR,United Kingdom,Y20T24,From 20 to 24 years,1990,0.45117,A,Normal value,0.45117
CZE,Czechia,Y20T24,From 20 to 24 years,1990,0.8757699999999999,A,Normal value,0.8757699999999999
LTU,Lithuania,Y20T24,From 20 to 24 years,1990,0.83611,A,Normal value,0.83611
FIN,Finland,Y20T24,From 20 to 24 years,1990,0.3532,A,Normal value,0.3532
ITA,Italy,Y20T24,From 20 to 24 years,1990,0.27056,A,Normal value,0.27056
AUT,Austria,Y35T39,From 35 to 39 years,1990,0.1022,A,Normal value,0.1022
NLD,Netherlands,Y35T39,From 35 to 39 years,1990,0.15,A,Normal value,0.15
HUN,Hungary,Y35T39,From 35 to 39 years,1990,0.08037,A,Normal value,0.08037
AUS,Australia,Y20T24,From 20 to 24 years,1990,0.397,A,Normal value,0.397
BEL,Belgium,Y20T24,From 20 to 24 years,1990,0.38907,A,Normal value,0.38907
AUT,Austria,Y20T24,From 20 to 24 years,1990,0.43138,A,Normal value,0.43138
SWE,Sweden,Y20T24,From 20 to 24 years,1990,0.48545,A,Normal value,0.48545
POL,Poland,Y20T24,From 20 to 24 years,1990,0.82996,A,Normal value,0.82996
EST,Estonia,Y20T24,From 20 to 24 years,1990,0.8233899999999998,A,Normal value,0.8233899999999998
LUX,Luxembourg,Y20T24,From 20 to 24 years,1990,0.33691,A,Normal value,0.33691
GBR,United Kingdom,_T,Total,1990,1.48,A,Normal value,1.48
AUS,Australia,_T,Total,1990,1.902,A,Normal value,1.902
PRT,Portugal,Y30T34,From 30 to 34 years,1990,0.30714,A,Normal value,0.30714
SWE,Sweden,Y30T34,From 30 to 34 years,1990,0.55289,A,Normal value,0.55289
LTU,Lithuania,Y15T19,From 15 to 19 years,1990,0.20099,A,Normal value,0.20099
LTU,Lithuania,_T,Total,1990,2.03,A,Normal value,2.03
MLT,Malta,_T,Total,1990,2.04,A,Normal value,2.04
ESP,Spain,_T,Total,1990,1.36,A,Normal value,1.36
NLD,Netherlands,_T,Total,1990,1.62,A,Normal value,1.62
EST,Estonia,_T,Total,1990,2.05,A,Normal value,2.05
IRL,Ireland,_T,Total,1990,2.11,A,Normal value,2.11
SVK,Slovak Republic,_T,Total,1990,2.09,A,Normal value,2.09
CHE,Switzerland,_T,Total,1990,1.58,A,Normal value,1.58
ITA,Italy,Y15T19,From 15 to 19 years,1990,0.0426,A,Normal value,0.0426
CZE,Czechia,Y45T49,From 45 to 49 years,1990,0.0002099999999999,A,Normal value,0.0002099999999999
POL,Poland,Y45T49,From 45 to 49 years,1990,0.0015099999999999,A,Normal value,0.0015099999999999
LTU,Lithuania,Y45T49,From 45 to 49 years,1990,0.0013,A,Normal value,0.0013
CYP,Cyprus,_T,Total,1990,2.41,A,Normal value,2.41
GRC,Greece,_T,Total,1990,1.4,A,Normal value,1.4
ISL,Iceland,_T,Total,1990,2.3,A,Normal value,2.3
HUN,Hungary,_T,Total,1990,1.87,A,Normal value,1.87
ROU,Romania,Y20T24,From 20 to 24 years,1990,0.71884,A,Normal value,0.71884
SVK,Slovak Republic,Y20T24,From 20 to 24 years,1990,0.93637,A,Normal value,0.93637
GRC,Greece,Y45T49,From 45 to 49 years,1990,0.00154,A,Normal value,0.00154
GBR,United Kingdom,Y45T49,From 45 to 49 years,1990,0.00144,A,Normal value,0.00144
BEL,Belgium,Y40T44,From 40 to 44 years,1990,0.01624,A,Normal value,0.01624
NLD,Netherlands,Y40T44,From 40 to 44 years,1990,0.02,A,Normal value,0.02
AUS,Australia,Y45T49,From 45 to 49 years,1990,0.001,A,Normal value,0.001
BGR,Bulgaria,Y45T49,From 45 to 49 years,1990,0.00037,A,Normal value,0.00037
SWE,Sweden,Y45T49,From 45 to 49 years,1990,0.00109,A,Normal value,0.00109
FRA,France,Y40T44,From 40 to 44 years,1990,0.02896,A,Normal value,0.02896
MLT,Malta,Y45T49,From 45 to 49 years,1990,0.0,A,Normal value,0.0
EST,Estonia,Y45T49,From 45 to 49 years,1990,0.00118,A,Normal value,0.00118
FIN,Finland,_T,Total,1990,1.78,A,Normal value,1.78
GBR,United Kingdom,Y30T34,From 30 to 34 years,1990,0.42832,A,Normal value,0.42832
ROU,Romania,Y30T34,From 30 to 34 years,1990,0.2345,A,Normal value,0.2345
ROU,Romania,Y45T49,From 45 to 49 years,1990,0.00179,A,Normal value,0.00179
IRL,Ireland,Y45T49,From 45 to 49 years,1990,0.00506,A,Normal value,0.00506
FIN,Finland,Y40T44,From 40 to 44 years,1990,0.03965,A,Normal value,0.03965
ESP,Spain,Y45T49,From 45 to 49 years,1990,0.00199,A,Normal value,0.00199
AUT,Austria,Y15T19,From 15 to 19 years,1990,0.10069,A,Normal value,0.10069
CZE,Czechia,Y40T44,From 40 to 44 years,1990,0.0082899999999999,A,Normal value,0.0082899999999999
SVK,Slovak Republic,Y40T44,From 40 to 44 years,1990,0.0135199999999999,A,Normal value,0.0135199999999999
NLD,Netherlands,Y25T29,From 25 to 29 years,1990,0.63,A,Normal value,0.63
LTU,Lithuania,Y25T29,From 25 to 29 years,1990,0.56772,A,Normal value,0.56772
BGR,Bulgaria,Y25T29,From 25 to 29 years,1990,0.40904,A,Normal value,0.40904
HUN,Hungary,Y25T29,From 25 to 29 years,1990,0.57902,A,Normal value,0.57902
NOR,Norway,Y25T29,From 25 to 29 years,1990,0.72018,A,Normal value,0.72018
DNK,Denmark,Y25T29,From 25 to 29 years,1990,0.67423,A,Normal value,0.67423
FRA,France,Y30T34,From 30 to 34 years,1990,0.42144,A,Normal value,0.42144
NOR,Norway,Y30T34,From 30 to 34 years,1990,0.47646,A,Normal value,0.47646
IRL,Ireland,Y30T34,From 30 to 34 years,1990,0.6258400000000001,A,Normal value,0.6258400000000001
NLD,Netherlands,Y15T19,From 15 to 19 years,1990,0.04,A,Normal value,0.04
GRC,Greece,Y35T39,From 35 to 39 years,1991,0.1003,A,Normal value,0.1003
BGR,Bulgaria,Y35T39,From 35 to 39 years,1991,0.0427,A,Normal value,0.0427
SVK,Slovak Republic,Y35T39,From 35 to 39 years,1991,0.07447,A,Normal value,0.07447
ESP,Spain,Y35T39,From 35 to 39 years,1991,0.13697,A,Normal value,0.13697
LUX,Luxembourg,Y30T34,From 30 to 34 years,1991,0.4442899999999999,A,Normal value,0.4442899999999999
HUN,Hungary,Y25T29,From 25 to 29 years,1991,0.58421,A,Normal value,0.58421
HUN,Hungary,Y45T49,From 45 to 49 years,1991,0.00054,A,Normal value,0.00054
CZE,Czechia,Y20T24,From 20 to 24 years,1991,0.85492,A,Normal value,0.85492
EST,Estonia,Y40T44,From 40 to 44 years,1991,0.01954,A,Normal value,0.01954
CAN,Canada,Y40T44,From 40 to 44 years,1991,0.0195,A,Normal value,0.0195
CAN,Canada,Y25T29,From 25 to 29 years,1991,0.621,A,Normal value,0.621
ITA,Italy,Y25T29,From 25 to 29 years,1991,0.46786,A,Normal value,0.46786
LTU,Lithuania,Y35T39,From 35 to 39 years,1991,0.10512,A,Normal value,0.10512
HUN,Hungary,Y35T39,From 35 to 39 years,1991,0.0829,A,Normal value,0.0829
NLD,Netherlands,Y35T39,From 35 to 39 years,1991,0.16,A,Normal value,0.16
GRC,Greece,_T,Total,1991,1.37,A,Normal value,1.37
ITA,Italy,Y30T34,From 30 to 34 years,1991,0.36467,A,Normal value,0.36467
LTU,Lithuania,Y30T34,From 30 to 34 years,1991,0.27221,A,Normal value,0.27221
NOR,Norway,Y30T34,From 30 to 34 years,1991,0.49204,A,Normal value,0.49204
SVK,Slovak Republic,Y30T34,From 30 to 34 years,1991,0.2255499999999999,A,Normal value,0.2255499999999999
HUN,Hungary,_T,Total,1991,1.87,A,Normal value,1.87
ITA,Italy,Y20T24,From 20 to 24 years,1991,0.25539,A,Normal value,0.25539
AUT,Austria,_T,Total,1991,1.51,A,Normal value,1.51
BGR,Bulgaria,_T,Total,1991,1.66,A,Normal value,1.66
FRA,France,Y20T24,From 20 to 24 years,1991,0.4034999999999999,A,Normal value,0.4034999999999999
SWE,Sweden,Y20T24,From 20 to 24 years,1991,0.4641999999999999,A,Normal value,0.4641999999999999
NOR,Norway,Y20T24,From 20 to 24 years,1991,0.44777,A,Normal value,0.44777
HUN,Hungary,Y20T24,From 20 to 24 years,1991,0.7293499999999999,A,Normal value,0.7293499999999999
EST,Estonia,Y25T29,From 25 to 29 years,1991,0.44827,A,Normal value,0.44827
BGR,Bulgaria,Y25T29,From 25 to 29 years,1991,0.35329,A,Normal value,0.35329
LTU,Lithuania,Y25T29,From 25 to 29 years,1991,0.54428,A,Normal value,0.54428
NLD,Netherlands,Y25T29,From 25 to 29 years,1991,0.62,A,Normal value,0.62
CZE,Czechia,Y25T29,From 25 to 29 years,1991,0.5016499999999999,A,Normal value,0.5016499999999999
CZE,Czechia,_T,Total,1991,1.86,A,Normal value,1.86
SVK,Slovak Republic,Y20T24,From 20 to 24 years,1991,0.90904,A,Normal value,0.90904
NLD,Netherlands,Y20T24,From 20 to 24 years,1991,0.23,A,Normal value,0.23
ESP,Spain,_T,Total,1991,1.33,A,Normal value,1.33
MLT,Malta,_T,Total,1991,2.04,A,Normal value,2.04
SWE,Sweden,Y15T19,From 15 to 19 years,1991,0.06364,A,Normal value,0.06364
AUS,Australia,Y15T19,From 15 to 19 years,1991,0.1105,A,Normal value,0.1105
SVK,Slovak Republic,Y40T44,From 40 to 44 years,1991,0.01447,A,Normal value,0.01447
ISL,Iceland,Y40T44,From 40 to 44 years,1991,0.0412499999999999,A,Normal value,0.0412499999999999
CZE,Czechia,Y40T44,From 40 to 44 years,1991,0.0089899999999999,A,Normal value,0.0089899999999999
SVN,Slovenia,Y40T44,From 40 to 44 years,1991,0.01485,A,Normal value,0.01485
PRT,Portugal,Y20T24,From 20 to 24 years,1991,0.42607,A,Normal value,0.42607
AUS,Australia,Y20T24,From 20 to 24 years,1991,0.375,A,Normal value,0.375
FIN,Finland,Y20T24,From 20 to 24 years,1991,0.35589,A,Normal value,0.35589
POL,Poland,Y20T24,From 20 to 24 years,1991,0.82493,A,Normal value,0.82493
ESP,Spain,Y20T24,From 20 to 24 years,1991,0.22939,A,Normal value,0.22939
LTU,Lithuania,Y20T24,From 20 to 24 years,1991,0.83226,A,Normal value,0.83226
DNK,Denmark,Y20T24,From 20 to 24 years,1991,0.34404,A,Normal value,0.34404
GBR,United Kingdom,Y20T24,From 20 to 24 years,1991,0.4435,A,Normal value,0.4435
BEL,Belgium,_T,Total,1991,1.66,A,Normal value,1.66
ITA,Italy,_T,Total,1991,1.3,A,Normal value,1.3
POL,Poland,_T,Total,1991,2.07,A,Normal value,2.07
ISL,Iceland,_T,Total,1991,2.18,A,Normal value,2.18
ROU,Romania,Y30T34,From 30 to 34 years,1991,0.1767,A,Normal value,0.1767
SWE,Sweden,Y30T34,From 30 to 34 years,1991,0.56109,A,Normal value,0.56109
LTU,Lithuania,_T,Total,1991,2.01,A,Normal value,2.01
LUX,Luxembourg,_T,Total,1991,1.6,A,Normal value,1.6
PRT,Portugal,_T,Total,1991,1.56,A,Normal value,1.56
SVK,Slovak Republic,_T,Total,1991,2.05,A,Normal value,2.05
BEL,Belgium,Y15T19,From 15 to 19 years,1991,0.05673,A,Normal value,0.05673
FIN,Finland,Y15T19,From 15 to 19 years,1991,0.06301,A,Normal value,0.06301
LUX,Luxembourg,Y25T29,From 25 to 29 years,1991,0.60425,A,Normal value,0.60425
PRT,Portugal,Y25T29,From 25 to 29 years,1991,0.54541,A,Normal value,0.54541
SVK,Slovak Republic,Y25T29,From 25 to 29 years,1991,0.55735,A,Normal value,0.55735
IRL,Ireland,Y25T29,From 25 to 29 years,1991,0.65744,A,Normal value,0.65744
FRA,France,Y15T19,From 15 to 19 years,1991,0.05981,A,Normal value,0.05981
GBR,United Kingdom,Y15T19,From 15 to 19 years,1991,0.15619,A,Normal value,0.15619
NOR,Norway,Y15T19,From 15 to 19 years,1991,0.07967,A,Normal value,0.07967
SVN,Slovenia,Y15T19,From 15 to 19 years,1991,0.1067499999999999,A,Normal value,0.1067499999999999
GRC,Greece,Y20T24,From 20 to 24 years,1991,0.3937,A,Normal value,0.3937
SVN,Slovenia,Y20T24,From 20 to 24 years,1991,0.55776,A,Normal value,0.55776
AUT,Austria,Y20T24,From 20 to 24 years,1991,0.44043,A,Normal value,0.44043
CHE,Switzerland,Y20T24,From 20 to 24 years,1991,0.28724,A,Normal value,0.28724
CHE,Switzerland,_T,Total,1991,1.58,A,Normal value,1.58
CYP,Cyprus,_T,Total,1991,2.32,A,Normal value,2.32
SWE,Sweden,Y25T29,From 25 to 29 years,1991,0.7704,A,Normal value,0.7704
FRA,France,Y25T29,From 25 to 29 years,1991,0.6876099999999999,A,Normal value,0.6876099999999999
ROU,Romania,Y25T29,From 25 to 29 years,1991,0.40444,A,Normal value,0.40444
POL,Poland,Y25T29,From 25 to 29 years,1991,0.61671,A,Normal value,0.61671
ISL,Iceland,Y25T29,From 25 to 29 years,1991,0.6799399999999999,A,Normal value,0.6799399999999999
AUS,Australia,Y25T29,From 25 to 29 years,1991,0.66,A,Normal value,0.66
ISL,Iceland,Y20T24,From 20 to 24 years,1991,0.54114,A,Normal value,0.54114
LUX,Luxembourg,Y20T24,From 20 to 24 years,1991,0.34102,A,Normal value,0.34102
EST,Estonia,Y20T24,From 20 to 24 years,1991,0.74517,A,Normal value,0.74517
CAN,Canada,Y20T24,From 20 to 24 years,1991,0.3944999999999999,A,Normal value,0.3944999999999999
PRT,Portugal,Y30T34,From 30 to 34 years,1991,0.32148,A,Normal value,0.32148
GBR,United Kingdom,Y30T34,From 30 to 34 years,1991,0.42981,A,Normal value,0.42981
BGR,Bulgaria,Y30T34,From 30 to 34 years,1991,0.12896,A,Normal value,0.12896
BEL,Belgium,Y30T34,From 30 to 34 years,1991,0.37459,A,Normal value,0.37459
ISL,Iceland,Y35T39,From 35 to 39 years,1991,0.2316,A,Normal value,0.2316
SWE,Sweden,Y35T39,From 35 to 39 years,1991,0.21442,A,Normal value,0.21442
