country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,gdp_pc,part_time_gap
Australia,2010,20.38123167,-6.382107000000005,16.347199000000003,11.27996064,17.517486570000003,122.776402,-43.77199999999999
Australia,2011,19.45830364,-7.470134999999999,16.211098000000007,10.694274899999996,17.213684079999993,123.987878,-44.94200000000001
Australia,2012,20.37659718,-7.444217999999999,15.574737,10.181480409999992,17.214630119999995,124.053932,-45.444
Australia,2013,21.38690862,-8.811260000000004,14.506141999999995,10.264289860000003,16.628097530000005,123.738538,-44.164
Australia,2014,19.94496811,-6.950085000000001,14.499283000000004,9.615394589999994,16.270225519999997,122.649471,-43.356
Australia,2015,18.83669352,-8.798638000000004,14.062331999999998,9.129066469999998,17.692085269999993,121.821384,-42.404
Australia,2016,18.41601994,-7.862380999999999,13.000876999999988,8.393630979999998,16.750579830000007,121.155888,-40.74199999999999
Australia,2017,15.31138461,-9.701331999999994,12.322699999999998,7.599998470000003,16.299995420000002,120.03279,-41.146
Australia,2018,16.34133128,-10.395481000000004,11.407425000000003,7.400001529999997,15.0,118.734749,-41.042
Australia,2019,17.77653193,-9.173278000000003,11.981910999999997,7.016799930000005,13.853698730000003,115.56982,-40.542
Australia,2020,14.29781268,-10.354563999999996,11.870681000000005,6.207496649999996,14.461708060000008,121.892351,-40.056
Australia,2021,15.77333185,-10.092650999999996,9.873787000000007,5.738075249999994,13.063377379999991,119.829367,-38.672
Australia,2022,15.23969964,-10.729599,9.29274749000001,4.550498959999999,12.13919068,119.313938,-39.694
Australia,2023,13.00002495,-11.33921051,8.280204780000005,4.766006470000008,11.237571720000004,116.881332,-37.286
Austria,2010,24.14373323,3.746296000000001,10.852035999999998,10.53620911,15.970764159999987,135.26606,-64.482
Austria,2011,23.55489666,4.020661999999998,10.563026000000008,10.290191650000011,16.88879394,136.743927,-65.16399999999999
Austria,2012,22.97117524,3.965084000000001,10.164879,8.526260379999997,17.42667771,135.935758,-65.416
Austria,2013,22.74180543,3.1937560000000005,9.709450000000004,8.10141754,16.65059662,133.311482,-62.31999999999999
Austria,2014,22.37372994,2.579626000000001,9.152595000000003,7.892829890000002,14.235176079999988,131.208664,-61.768
