country,year,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap
South Sudan,2023,,32.4,9.5,53.6,25.0,0.0,0.0,100.0,75.0,25.0,,,,,,,
Spain,2023,35.0,43.0,17.6,49.0,0.0,0.0,0.0,25.0,25.0,0.0,14.4,49.5,9.0,10.8,25.8,6.8,-2.4
Sri Lanka,2023,27.2,5.3,8.8,23.8,25.0,25.0,0.0,100.0,25.0,100.0,,,,,,,
Sudan,2023,,24.9,3.4,30.8,75.0,25.0,75.0,100.0,75.0,100.0,,,,,,,
Suriname,2023,43.2,29.4,11.9,21.7,0.0,0.0,0.0,50.0,75.0,75.0,,,,,,,
Sweden,2023,42.3,46.4,14.0,24.5,0.0,0.0,0.0,0.0,25.0,0.0,11.8,42.1,5.3,3.0,15.2,4.7,-0.7999999999999998
Switzerland,2023,33.3,41.5,,13.6,0.0,0.0,0.0,0.0,50.0,0.0,,67.0,12.1,9.3,36.2,11.2,-1.4000000000000004
Syrian Arab Republic,2023,8.9,11.2,,68.4,75.0,0.0,75.0,100.0,75.0,100.0,,,,,,,
Tajikistan,2023,16.1,27.0,6.6,16.6,25.0,25.0,0.0,25.0,75.0,100.0,46.9,61.8,74.5,63.1,50.8,66.4,
Tanzania,2023,23.3,36.9,14.0,11.6,25.0,25.0,0.0,100.0,75.0,25.0,,42.7,43.9,26.9,,,-2.9
Thailand,2023,39.2,15.8,64.8,47.7,0.0,0.0,0.0,50.0,75.0,100.0,30.9,47.3,46.1,31.3,38.7,41.2,-1.9
Timor-Leste,2023,24.5,40.0,32.2,,0.0,0.0,0.0,25.0,50.0,0.0,,,,,,,
Togo,2023,70.1,18.7,11.4,44.2,0.0,0.0,0.0,25.0,75.0,25.0,,,,,,,
Trinidad and Tobago,2023,44.5,26.2,20.8,70.1,0.0,0.0,75.0,0.0,75.0,75.0,48.0,70.6,25.1,27.5,38.7,20.8,
Tunisia,2023,14.8,26.3,10.4,50.3,25.0,0.0,0.0,100.0,50.0,100.0,44.3,73.1,58.5,64.7,71.5,44.0,-4.7
Turkmenistan,2023,,25.9,,,0.0,0.0,75.0,25.0,75.0,100.0,,,,,,,
Türkiye,2023,18.2,17.4,3.9,68.0,0.0,0.0,0.0,0.0,0.0,100.0,43.3,64.4,53.5,52.2,53.0,48.4,-3.6999999999999997
Uganda,2023,32.5,33.8,15.4,47.7,0.0,0.0,0.0,50.0,50.0,25.0,,36.8,68.1,40.7,,,-1.7
Ukraine,2023,40.7,20.3,17.7,73.8,0.0,0.0,0.0,0.0,25.0,100.0,32.5,83.8,44.9,30.8,58.2,43.8,
United Arab Emirates,2023,17.7,50.0,,,25.0,0.0,0.0,100.0,50.0,0.0,,,,,,,
United Kingdom,2023,36.8,34.6,,30.1,0.0,0.0,0.0,0.0,25.0,0.0,,68.0,8.8,4.6,21.0,8.2,-1.3
United States,2023,41.4,28.7,,48.8,0.0,0.0,0.0,0.0,25.0,75.0,10.0,70.3,16.5,5.2,20.8,12.7,-1.4000000000000004
Uruguay,2023,38.8,25.3,10.6,50.2,0.0,0.0,0.0,0.0,0.0,100.0,26.5,59.7,11.1,13.2,36.7,11.8,-2.8
Uzbekistan,2023,1.7,33.3,12.4,12.5,25.0,0.0,0.0,25.0,75.0,100.0,61.1,91.7,77.2,60.2,35.4,68.1,
Venezuela,2023,32.8,33.9,31.1,78.0,0.0,0.0,0.0,0.0,25.0,100.0,41.4,66.5,25.8,21.2,50.0,19.7,
Viet Nam,2023,25.3,30.3,22.4,12.2,0.0,0.0,0.0,25.0,25.0,0.0,47.1,62.8,55.2,52.0,78.3,41.5,
World,2023,25.0,26.7,15.0,31.8,15.6,9.0,13.8,33.1,48.6,60.7,35.5,65.3,47.9,45.5,55.6,41.6,-2.9000000000000004
Yemen,2023,4.1,0.0,1.6,52.3,75.0,25.0,75.0,100.0,75.0,100.0,54.0,84.0,86.2,77.2,86.7,76.5,
Zambia,2023,45.9,15.1,12.9,33.0,0.0,25.0,75.0,25.0,50.0,0.0,,43.5,49.7,33.6,,47.1,
Zimbabwe,2023,33.7,30.6,16.3,29.2,0.0,0.0,0.0,25.0,25.0,75.0,67.8,52.7,45.0,44.7,17.8,30.5,
