country,year,native_gap,immigrant_gap,overall_gap
Australia,2000,16.209266659999997,20.426147469999997,18.317707064999993
Australia,2001,14.791175850000002,21.1184578,17.95481682500001
Australia,2002,14.682907100000008,20.30366134999999,17.493284224999996
Australia,2003,13.625030519999996,19.620006559999993,16.622518539999987
Australia,2004,14.41210937000001,19.586906429999992,16.999507899999998
Australia,2005,13.291130069999994,19.05078125,16.170955660000004
Australia,2006,12.543487549999995,18.997322089999997,15.770404819999996
Australia,2007,12.113319399999995,18.191448209999997,15.152383805
Australia,2008,11.735305789999998,17.464035030000005,14.599670410000002
Australia,2009,10.86977386000001,17.46411132,14.166942590000005
Australia,2010,11.279960639999999,17.517486570000003,14.398723605
Australia,2011,10.694274899999996,17.213684079999993,13.953979489999995
Australia,2012,10.181480409999992,17.214630119999995,13.698055264999994
Australia,2013,10.264289860000005,16.628097530000005,13.446193695000005
Australia,2014,9.615394589999994,16.270225519999997,12.942810054999995
Australia,2015,9.129066469999998,17.692085269999993,13.410575869999988
Australia,2016,8.393630979999998,16.750579830000007,12.572105405000002
Australia,2017,7.599998470000003,16.299995420000002,11.94999694500001
Australia,2018,7.400001529999997,15.0,11.200000764999999
Australia,2019,7.016799930000005,13.853698730000005,10.435249330000005
Australia,2020,6.207496649999996,14.461708060000007,10.334602354999987
Australia,2021,5.738075249999994,13.063377379999991,9.400726314999986
Australia,2022,4.550498959999999,12.139190679999999,8.344844820000006
Australia,2023,4.766006470000008,11.237571720000005,8.001789095000007
Australia,2024,4.662582389999997,11.05984497,7.861213679999992
Austria,2000,17.113464349999994,20.489391319999996,18.801427835
Austria,2001,15.938690179999995,21.702720639999995,18.820705409999988
Austria,2002,15.083831789999998,17.955749510000004,16.519790650000004
Austria,2003,15.115207679999997,18.76843262,16.941820149999998
Austria,2004,12.574523929999998,18.95440292,15.764463425000002
Austria,2005,12.670494079999997,19.05927276,15.864883419999998
Austria,2006,12.19420624,19.308216090000002,15.751211165
Austria,2007,12.513572699999997,19.81650544,16.165039070000006
Austria,2008,11.238189700000007,19.4285736,15.333381650000007
Austria,2009,9.79277802,18.526187899999996,14.159482960000005
Austria,2010,10.536209110000001,15.970764159999987,13.253486635000002
Austria,2011,10.290191650000011,16.88879394,13.589492795000012
Austria,2012,8.526260379999997,17.42667771,12.976469045000002
Austria,2013,8.10141754,16.65059662,12.376007079999994
Austria,2014,7.892829890000002,14.235176079999988,11.064002984999988
Austria,2015,7.428565979999988,15.865043639999996,11.646804809999992
Austria,2016,7.280136110000001,15.015945439999996,11.148040774999998
Austria,2017,7.518081659999993,14.869377139999997,11.193729399999995
Austria,2018,7.6999969400000055,15.900001520000004,11.799999229999997
Austria,2019,8.260093690000005,13.32148742999999,10.79079055999999
Austria,2020,8.007087709999993,13.77830505,10.892696380000004
Austria,2021,7.162216190000009,15.706909180000011,11.434562685000017
Austria,2022,6.772277839999987,14.429229739999997,10.600753789999985
Austria,2023,6.490005499999995,14.064544679999997,10.277275090000003
Austria,2024,5.957763669999991,13.132385249999999,9.545074459999995
Belgium,2000,15.776756279999994,27.690177919999996,21.7334671
Belgium,2001,16.468425759999995,29.85589600000001,23.162160879999995
Belgium,2002,15.980972290000004,25.32073975,20.650856019999992
Belgium,2003,15.481719969999993,24.42358017,19.95265006999999
Belgium,2004,13.682517999999995,23.654472350000006,18.668495175000004
Belgium,2005,13.031341550000008,23.660564430000008,18.345952990000008
Belgium,2006,12.436607360000004,22.473728179999995,17.455167770000003
Belgium,2007,11.924262999999996,22.19628143,17.060272214999998
Belgium,2008,10.748401640000004,23.36315155999999,17.0557766
Belgium,2009,10.170322420000005,21.614807130000003,15.892564775000011
Belgium,2010,10.17235565,19.500698090000007,14.836526870000014
Belgium,2011,9.35429001,20.467525489999993,14.910907749999993
Belgium,2012,9.311786649999995,19.81270598999999,14.562246319999986
Belgium,2013,8.411232000000012,20.081264490000002,14.246248245000018
Belgium,2014,7.353385919999994,19.657547,13.505466459999994
Belgium,2015,7.172340390000002,18.290122989999993,12.731231690000001
Belgium,2016,7.415168769999994,18.61695099,13.01605988
Belgium,2017,7.0899505600000055,19.90491104000001,13.497430800000004
Belgium,2018,6.3000030599999945,17.5,11.900001529999997
Belgium,2019,6.153869630000003,16.23561478,11.194742205000011
Belgium,2020,5.504234319999995,17.683517459999997,11.593875889999993
Belgium,2021,5.503852839999993,17.761589049999998,11.632720944999996
Belgium,2022,4.93399810999999,16.76708603,10.850542069999989
Belgium,2023,4.940002449999994,17.333778380000005,11.136890414999996
