country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,overall_gap,gdp_pc,part_time_gap
Canada,2013,18.47757423,-11.43856048583985,8.299995422363281,5.221458440000006,12.019363400000003,8.620410919999998,110.841011,-35.548
Canada,2014,18.3583841,-10.95417022705078,8.63970947265625,5.558975220000008,12.177619929999992,8.868297575,111.143507,-35.370000000000005
Canada,2015,17.99712911,-11.701690673828123,8.820884704589844,5.648269659999997,14.09862518,9.87344741999999,108.863577,-34.808
Canada,2016,17.69040345,-12.086589813232417,8.488639831542969,5.2494430499999964,14.01352691999999,9.631484985,107.416483,-33.087999999999994
Canada,2017,18.03417481,-12.510860443115227,8.368736267089844,5.207672119999998,12.17979432,8.693733219999984,107.063649,-32.34
Canada,2018,17.3550548,-12.92095947265625,8.347389221191406,4.5,12.0,8.25,106.565031,-33.756
Canada,2019,16.97332896,-12.25490951538086,8.14825439453125,5.035476680000002,12.13063812,8.583057400000001,105.847265,-31.736
Canada,2020,15.90400787,-12.972290039062491,8.297477722167969,5.594078069999995,12.049255369999996,8.821666719999996,103.976347,-31.620000000000005
Canada,2021,15.84975038,-12.922576904296877,7.8961181640625,5.100616450000004,11.03640747,8.068511959999995,103.463337,-28.866000000000007
Canada,2022,16.26509369,-13.50299072265625,7.811309814453125,4.358665469999991,10.509956360000004,7.434310914999997,103.212559,-32.172
Canada,2023,16.20368533,-13.719253540039062,7.34979248046875,4.1592788700000085,10.639556889999994,7.3994178800000014,100.720565,-28.904
Chile,2010,,,,,,,54.686317,-17.352000000000004
Chile,2011,13.08551538,0.177664,33.10349299999999,26.82789612,17.84970091999999,22.33879852,56.610849,-22.296000000000006
Chile,2012,,,,,,,58.987306,-24.39
Chile,2013,15.96968668,-0.0928439999999994,30.157943,25.05073929,17.471389770000002,21.26106453,59.698541,-24.052000000000007
Chile,2014,,,,,,,59.237673,-25.144000000000005
Chile,2015,14.59520155,-0.0391079999999988,27.897006999999995,23.087478640000008,18.40676117,20.747119905000005,58.730908,-24.166
Chile,2016,,,,,,,58.388225,-23.730000000000004
Chile,2017,10.65840922,-0.9900684356689524,25.6196060180664,22.113525390000007,15.11767578,18.61560058500001,57.145379,-23.21
Chile,2018,,,,,,,57.366002,-20.966
Chile,2019,,,,,,,56.032533,-20.15600000000001
Chile,2020,14.83171859,-1.017548999999999,22.843147,18.299999230000005,16.3999939,17.349996565000012,54.002331,-15.415999999999997
Chile,2021,16.06367699,,,20.90999985,18.18999481,19.54999733,56.135346,-14.629999999999995
Chile,2022,19.72992693,-2.415491104125977,22.50870895385743,18.7100029,16.980003359999998,17.845003129999995,55.481447,-20.122
Chile,2023,18.8593827,,,19.587726759999995,15.289937539999997,17.438832149999996,54.818732,-19.372
Colombia,2010,13.96253308,-1.9252520000000004,29.913581,,,,33.441652,-33.452
Colombia,2011,10.60217166,-2.232564999999997,29.303109,,,,34.881252,-34.462
Colombia,2012,12.91111885,-2.744387,28.10923,,,,35.617302,-34.01
Colombia,2013,9.749305064,-3.31138,28.063755000000008,,,,36.69205,-35.13399999999999
Colombia,2014,14.91505387,-3.571826999999999,28.075497,,,,37.119786,-36.636
Colombia,2015,11.44422481,-3.79044914,27.36505509,,,,37.116237,-38.49000000000001
Colombia,2016,9.850291028,-3.944963450000003,27.79653931,,,,37.019113,-40.136
Colombia,2017,8.871017801,-3.637748720000001,27.69649124,21.500003810000003,22.90000153,22.20000266999999,36.277649,-39.55
Colombia,2018,6.510817966,-4.408870689999997,28.394653320000003,22.099998470000003,23.0,22.549999235,35.932055,-39.238
Colombia,2019,7.930337471,-4.5512619,28.793769829999995,22.10000229,25.59999848,23.850000385,35.849016,-37.02000000000001
Colombia,2020,2.461095933,-4.976818090000002,30.72948837,24.29999542,28.79999924,26.54999733000001,34.131533,-32.602000000000004
Colombia,2021,2.092951817,-4.700082779999999,32.002872460000006,28.99999619,36.0,32.49999809500001,35.22874,-25.212000000000003
Colombia,2022,0.100390482,-5.095922469999998,28.931327820000007,,,,36.456933,-29.196
Colombia,2023,1.656794958,-5.260303499999999,27.73673629999999,25.771232470000008,33.149255090000004,29.460243780000013,35.951489,-34.68000000000001
Costa Rica,2010,11.94730418,-1.897312,35.36279699999999,,,,43.382558,-32.858000000000004
Costa Rica,2011,12.3461108,-1.2303950000000017,34.579621,,,,44.213782,-31.360000000000007
Costa Rica,2012,13.81799727,-1.5746000000000002,29.452641,,,,45.414551,-35.026
Costa Rica,2013,11.87705239,-3.083966,31.262139,,,,45.455488,-33.318000000000005
Costa Rica,2014,16.10180941,-1.4689000000000014,31.846584,,,,45.751777,-28.03
Costa Rica,2015,12.61810824,-1.937587999999998,31.895542,,,,45.934082,-30.038000000000004
Costa Rica,2016,11.64236152,-3.607554999999998,33.62912,,,,46.711431,-26.804
Costa Rica,2017,11.69663626,-2.4103640000000013,33.736294,,,,47.084448,-29.748
Costa Rica,2018,11.27038396,-2.072405,32.609531000000004,,,,46.950006,-35.605999999999995
Costa Rica,2019,11.9388829,-2.4017470000000003,31.52531,24.90000153,24.5,24.700000765,47.045904,-33.123999999999995
Costa Rica,2020,5.774613713,-2.6851200000000013,31.239612,24.70000076,27.699996940000005,26.19999885,46.603124,-22.894000000000005
Costa Rica,2021,3.737903721,-2.5239970000000014,32.560562000000004,23.60000229,26.89999771,25.250000000000007,47.021168,-26.840000000000003
Costa Rica,2022,0.479212529,-4.543284,31.591023000000007,23.84000015,28.05999756,25.949998855000004,47.464676,-35.214
